PRISM Time Series Data
Location:  Lat: 41.8283   Lon: -72.2371   Elev: 158m
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2015-01-01 - 2025-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Feb-12
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmean (degrees C)
2017-06-11,0.00,20.7
2017-06-12,0.00,25.0
2017-06-13,0.00,26.4
2017-06-14,1.80,25.4
2017-06-15,0.00,18.4
2017-06-16,0.00,18.2
2017-06-17,15.01,17.7
2017-06-18,0.09,19.9
2017-06-19,0.00,22.8
2017-06-20,17.22,23.4
2017-06-21,0.00,21.5
2017-06-22,0.21,20.5
2017-06-23,0.00,21.7
2017-06-24,0.03,24.4
2017-06-25,2.80,21.8
2017-06-26,4.54,19.8
2017-06-27,0.00,18.2
2017-06-28,10.57,17.6
2017-06-29,0.00,18.2
2017-06-30,0.00,20.9
2017-07-01,10.08,24.2
2017-07-02,0.00,23.8
2017-07-03,0.42,23.6
2017-07-04,0.00,22.0
2017-07-05,0.00,21.2
2017-07-06,0.00,21.1
2017-07-07,0.03,20.6
2017-07-08,39.78,18.1
2017-07-09,0.35,21.0
2017-07-10,0.00,19.8
2017-07-11,20.69,21.7
2017-07-12,0.38,23.8
2017-07-13,39.09,24.9
2017-07-14,15.38,21.4
2017-07-15,0.90,16.1
2017-07-16,0.00,21.7
2017-07-17,0.00,23.3
2017-07-18,0.00,23.1
2017-07-19,16.01,25.1
2017-07-20,0.00,24.8
2017-07-21,3.78,25.7
2017-07-22,0.00,24.5
2017-07-23,0.00,23.5
2017-07-24,0.48,19.7
2017-07-25,16.56,13.8
2017-07-26,0.00,15.4
2017-07-27,0.00,19.5
2017-07-28,0.74,19.0
2017-07-29,0.00,21.7
2017-07-30,0.00,16.8
2017-07-31,0.00,19.3
2017-08-01,0.00,22.3
2017-08-02,0.00,23.9
2017-08-03,39.29,22.4
2017-08-04,0.00,22.7
2017-08-05,1.41,24.0
2017-08-06,27.01,19.2
2017-08-07,0.00,17.9
2017-08-08,0.87,17.7
2017-08-09,0.00,17.4
2017-08-10,0.00,20.4
2017-08-11,0.00,21.4
2017-08-12,5.01,20.6
2017-08-13,0.00,19.7
2017-08-14,0.00,20.8
2017-08-15,0.00,20.3
2017-08-16,0.00,21.3
2017-08-17,0.00,20.1
2017-08-18,0.04,21.1
2017-08-19,1.75,21.7
2017-08-20,0.00,23.8
2017-08-21,0.00,21.7
2017-08-22,0.00,23.8
2017-08-23,2.51,23.9
2017-08-24,0.00,17.8
2017-08-25,0.00,18.5
2017-08-26,0.00,17.9
2017-08-27,0.00,16.3
2017-08-28,0.00,17.0
2017-08-29,0.00,17.4
2017-08-30,4.05,16.0
2017-08-31,0.00,17.4
2017-09-01,0.00,15.7
2017-09-02,0.00,12.0
2017-09-03,3.47,14.5
2017-09-04,12.29,13.6
2017-09-05,0.00,19.5
2017-09-06,0.06,23.4
2017-09-07,36.09,18.0
2017-09-08,0.30,15.9
2017-09-09,0.00,14.9
2017-09-10,0.00,15.2
2017-09-11,0.00,16.0
2017-09-12,0.00,17.5
2017-09-13,0.00,18.5
2017-09-14,0.00,21.9
2017-09-15,0.11,21.8
2017-09-16,0.00,22.2
2017-09-17,0.00,22.5
2017-09-18,3.02,22.2
2017-09-19,0.00,19.7
2017-09-20,0.47,19.7
2017-09-21,0.00,21.1
2017-09-22,0.00,18.5
2017-09-23,0.00,18.5
2017-09-24,0.00,22.5
2017-09-25,0.00,23.7
2017-09-26,0.00,24.2
2017-09-27,0.00,22.5
2017-09-28,0.00,22.9
2017-09-29,0.00,15.0
2017-09-30,1.92,13.0
2017-10-01,0.00,9.9
2017-10-02,0.00,11.8
2017-10-03,0.00,14.7
2017-10-04,0.00,13.7
2017-10-05,0.00,15.2
2017-10-06,0.00,17.6
2017-10-07,0.00,18.1
2017-10-08,0.00,19.7
2017-10-09,13.06,21.4
2017-10-10,11.58,19.9
2017-10-11,0.00,18.1
2017-10-12,0.88,14.5
2017-10-13,0.00,8.6
2017-10-14,0.00,11.2
2017-10-15,0.00,17.4
2017-10-16,0.84,16.8
2017-10-17,0.00,6.9
2017-10-18,0.00,7.7
2017-10-19,0.00,13.3
2017-10-20,0.00,14.7
2017-10-21,0.00,13.5
2017-10-22,0.00,15.8
2017-10-23,0.00,16.8
2017-10-24,1.18,15.6
2017-10-25,46.14,19.7
2017-10-26,32.89,16.4
2017-10-27,28.79,8.5
2017-10-28,0.00,10.7
2017-10-29,0.00,12.0
2017-10-30,85.18,16.7
2017-10-31,1.73,11.0
2017-11-01,0.00,5.2
2017-11-02,0.71,6.2
2017-11-03,0.00,16.7
2017-11-04,0.47,13.1
2017-11-05,0.00,8.8
2017-11-06,0.33,11.9
2017-11-07,1.32,10.4
2017-11-08,2.73,5.2
2017-11-09,0.00,2.7
2017-11-10,0.06,4.5
2017-11-11,0.52,-2.5
2017-11-12,0.00,-2.3
2017-11-13,0.00,1.8
2017-11-14,1.73,2.3
2017-11-15,0.03,1.0
2017-11-16,0.00,3.1
2017-11-17,11.43,6.0
2017-11-18,0.00,0.2
2017-11-19,13.01,5.0
2017-11-20,0.96,6.1
2017-11-21,0.00,1.7
2017-11-22,0.00,7.3
2017-11-23,14.97,3.8
2017-11-24,0.00,0.9
2017-11-25,0.00,3.3
2017-11-26,0.00,7.3
2017-11-27,0.00,2.4
2017-11-28,0.00,0.4
2017-11-29,0.00,2.2
2017-11-30,0.00,5.3
2017-12-01,1.57,2.3
2017-12-02,0.00,3.1
2017-12-03,0.00,2.0
2017-12-04,0.00,1.6
2017-12-05,0.00,4.0
2017-12-06,20.46,10.0
2017-12-07,0.00,3.9
2017-12-08,0.00,1.4
2017-12-09,0.00,1.0
2017-12-10,13.63,0.5
2017-12-11,0.00,0.1
2017-12-12,0.00,0.7
2017-12-13,5.22,-1.4
2017-12-14,2.42,-6.4
2017-12-15,0.00,-7.4
2017-12-16,0.75,-8.3
2017-12-17,0.00,-5.5
2017-12-18,0.00,-5.5
2017-12-19,0.00,-0.6
2017-12-20,0.00,5.9
2017-12-21,0.00,0.4
2017-12-22,0.00,-1.0
2017-12-23,1.28,-2.0
2017-12-24,10.91,1.3
2017-12-25,4.76,-0.2
2017-12-26,3.66,-3.1
2017-12-27,0.00,-9.4
2017-12-28,0.00,-12.2
2017-12-29,0.00,-15.0
2017-12-30,0.00,-13.6
2017-12-31,0.83,-13.5
2018-01-01,0.00,-14.8
2018-01-02,0.00,-16.3
2018-01-03,0.00,-13.1
2018-01-04,1.92,-9.1
2018-01-05,19.61,-8.9
2018-01-06,0.00,-14.1
2018-01-07,0.00,-17.2
2018-01-08,0.00,-14.7
2018-01-09,0.80,-3.9
2018-01-10,0.00,-2.9
2018-01-11,0.00,-3.0
2018-01-12,0.00,6.4
2018-01-13,35.70,12.4
2018-01-14,0.00,0.8
2018-01-15,0.00,-8.9
2018-01-16,0.00,-8.8
2018-01-17,1.42,-3.4
2018-01-18,2.57,-4.8
2018-01-19,0.00,-6.2
2018-01-20,0.00,-2.0
2018-01-21,0.00,3.5
2018-01-22,0.00,3.8
2018-01-23,1.21,2.8
2018-01-24,28.23,7.7
2018-01-25,0.00,-2.2
2018-01-26,0.00,-6.0
2018-01-27,0.00,-3.8
2018-01-28,5.62,3.4
2018-01-29,0.00,4.5
2018-01-30,3.44,-1.0
2018-01-31,0.60,-4.8
2018-02-01,0.00,-4.9
2018-02-02,10.82,1.1
2018-02-03,0.00,-9.0
2018-02-04,0.00,-6.9
2018-02-05,20.05,2.7
2018-02-06,0.00,-3.0
2018-02-07,0.00,-3.8
2018-02-08,19.76,-1.4
2018-02-09,0.00,-6.1
2018-02-10,0.00,-4.0
2018-02-11,15.46,5.3
2018-02-12,21.22,7.6
2018-02-13,0.00,-1.4
2018-02-14,0.00,-2.4
2018-02-15,1.02,4.7
2018-02-16,0.51,6.8
2018-02-17,2.06,3.0
2018-02-18,11.74,-0.1
2018-02-19,0.00,-0.3
2018-02-20,6.05,3.2
2018-02-21,0.00,13.6
2018-02-22,0.00,13.5
2018-02-23,3.28,2.5
2018-02-24,8.44,2.4
2018-02-25,8.03,6.6
2018-02-26,13.88,3.2
2018-02-27,0.00,4.1
2018-02-28,0.00,5.1
2018-03-01,0.00,7.3
2018-03-02,10.37,8.7
2018-03-03,42.23,3.1
2018-03-04,0.00,3.8
2018-03-05,1.47,2.1
2018-03-06,0.00,0.6
2018-03-07,0.10,2.4
2018-03-08,28.01,0.5
2018-03-09,0.00,0.5
2018-03-10,0.00,-0.2
2018-03-11,0.02,0.2
2018-03-12,0.00,0.9
2018-03-13,6.25,1.0
2018-03-14,16.45,-1.6
2018-03-15,0.36,-0.0
2018-03-16,0.00,1.3
2018-03-17,0.00,-1.7
2018-03-18,0.00,-1.8
2018-03-19,0.00,-4.2
2018-03-20,0.00,-2.2
2018-03-21,0.00,0.6
2018-03-22,2.67,1.1
2018-03-23,0.00,4.8
2018-03-24,0.00,3.5
2018-03-25,0.00,3.0
2018-03-26,0.00,-0.5
2018-03-27,0.00,2.1
2018-03-28,0.21,5.0
2018-03-29,0.00,7.6
2018-03-30,0.44,8.9
2018-03-31,3.15,8.2
2018-04-01,0.00,8.0
2018-04-02,1.83,5.2
2018-04-03,5.46,0.9
2018-04-04,13.31,2.2
2018-04-05,4.26,5.4
2018-04-06,0.00,0.1
2018-04-07,5.20,1.5
2018-04-08,0.00,1.6
2018-04-09,0.00,0.9
2018-04-10,0.00,2.1
2018-04-11,1.51,-0.5
2018-04-12,0.00,3.1
2018-04-13,0.44,8.3
2018-04-14,0.00,13.4
2018-04-15,0.00,10.2
2018-04-16,12.80,1.7
2018-04-17,59.48,6.8
2018-04-18,0.68,4.2
2018-04-19,4.24,4.7
2018-04-20,2.57,2.4
2018-04-21,0.00,4.8
2018-04-22,0.00,8.0
2018-04-23,0.00,8.5
2018-04-24,0.00,10.2
2018-04-25,3.64,12.8
2018-04-26,19.83,11.1
2018-04-27,0.00,12.1
2018-04-28,9.59,11.6
2018-04-29,0.25,14.5
2018-04-30,2.66,7.2
2018-05-01,0.02,6.4
2018-05-02,0.00,14.9
2018-05-03,0.00,23.0
2018-05-04,2.85,24.5
2018-05-05,0.03,19.5
2018-05-06,0.00,16.8
2018-05-07,8.43,15.1
2018-05-08,0.00,14.1
2018-05-09,0.00,14.9
2018-05-10,0.00,17.1
2018-05-11,0.00,15.8
2018-05-12,0.00,14.0
2018-05-13,3.61,9.2
2018-05-14,0.00,11.5
2018-05-15,0.00,15.6
2018-05-16,17.25,19.5
2018-05-17,3.62,14.5
2018-05-18,0.76,18.5
2018-05-19,0.00,10.8
2018-05-20,12.04,12.8
2018-05-21,3.89,17.7
2018-05-22,0.00,16.0
2018-05-23,3.26,14.9
2018-05-24,0.00,19.7
2018-05-25,0.00,17.2
2018-05-26,0.00,22.0
2018-05-27,0.00,22.6
2018-05-28,2.22,12.3
2018-05-29,0.00,15.8
2018-05-30,0.00,23.3
2018-05-31,0.00,18.2
2018-06-01,0.21,19.7
2018-06-02,0.00,21.6
2018-06-03,1.75,20.3
2018-06-04,4.72,14.0
2018-06-05,8.72,10.9
2018-06-06,2.45,14.5
2018-06-07,0.00,14.7
2018-06-08,0.00,15.2
2018-06-09,0.00,19.7
2018-06-10,0.00,19.6
2018-06-11,0.00,16.3
2018-06-12,0.00,14.5
2018-06-13,0.00,16.8
2018-06-14,0.68,18.4
2018-06-15,0.00,19.6
2018-06-16,0.38,15.2
2018-06-17,0.00,20.0
2018-06-18,0.00,23.5
2018-06-19,13.56,25.0
2018-06-20,0.00,19.4
2018-06-21,0.00,20.4
2018-06-22,0.00,20.6
2018-06-23,0.00,18.8
2018-06-24,0.54,15.6
2018-06-25,13.31,19.8
2018-06-26,0.00,16.1
2018-06-27,0.00,18.4
2018-06-28,23.43,19.7
2018-06-29,26.20,22.5
2018-06-30,0.00,24.5
2018-07-01,0.00,25.8
2018-07-02,0.00,28.0
2018-07-03,0.00,26.4
2018-07-04,0.00,27.0
2018-07-05,0.00,26.8
2018-07-06,0.00,26.7
2018-07-07,9.73,18.9
2018-07-08,0.00,18.1
2018-07-09,0.00,20.3
2018-07-10,0.00,20.9
2018-07-11,1.23,25.2
2018-07-12,0.39,20.5
2018-07-13,0.00,20.7
2018-07-14,0.00,21.3
2018-07-15,0.01,22.1
2018-07-16,0.00,24.5
2018-07-17,0.00,26.4
2018-07-18,51.03,24.3
2018-07-19,0.00,19.5
2018-07-20,0.00,19.6
2018-07-21,0.00,21.0
2018-07-22,10.50,19.4
2018-07-23,31.52,21.2
2018-07-24,3.92,24.5
2018-07-25,6.05,24.5
2018-07-26,22.72,22.1
2018-07-27,14.25,22.2
2018-07-28,0.94,24.6
2018-07-29,0.00,23.3
2018-07-30,0.00,20.9
2018-07-31,0.00,21.8
2018-08-01,0.00,22.2
2018-08-02,0.74,24.3
2018-08-03,22.51,26.5
2018-08-04,0.34,25.7
2018-08-05,29.51,22.2
2018-08-06,0.00,24.9
2018-08-07,0.00,25.9
2018-08-08,0.95,25.7
2018-08-09,13.29,25.4
2018-08-10,0.00,23.0
2018-08-11,24.16,24.1
2018-08-12,6.14,21.1
2018-08-13,2.63,22.8
2018-08-14,11.51,21.7
2018-08-15,16.00,23.0
2018-08-16,0.00,24.3
2018-08-17,0.00,24.0
2018-08-18,4.06,25.2
2018-08-19,8.65,22.8
2018-08-20,0.00,19.8
2018-08-21,0.00,18.7
2018-08-22,10.79,19.9
2018-08-23,0.70,21.3
2018-08-24,0.00,17.5
2018-08-25,0.00,20.5
2018-08-26,0.00,19.2
2018-08-27,0.00,20.6
2018-08-28,0.00,24.7
2018-08-29,0.00,27.2
2018-08-30,0.00,27.5
2018-08-31,0.00,23.4
2018-09-01,0.00,18.5
2018-09-02,0.00,19.9
2018-09-03,0.00,21.5
2018-09-04,0.00,26.9
2018-09-05,0.00,24.6
2018-09-06,0.00,24.9
2018-09-07,19.01,24.9
2018-09-08,0.47,18.3
2018-09-09,0.00,14.7
2018-09-10,0.00,13.0
2018-09-11,32.55,14.3
2018-09-12,0.29,19.8
2018-09-13,65.76,19.2
2018-09-14,0.25,19.3
2018-09-15,0.04,20.4
2018-09-16,0.00,21.0
2018-09-17,0.00,23.2
2018-09-18,3.05,21.8
2018-09-19,38.72,20.8
2018-09-20,0.00,17.0
2018-09-21,0.00,17.1
2018-09-22,1.19,16.9
2018-09-23,0.00,13.8
2018-09-24,0.00,12.1
2018-09-25,0.37,11.4
2018-09-26,91.72,15.5
2018-09-27,13.53,18.7
2018-09-28,8.77,16.0
2018-09-29,4.90,13.0
2018-09-30,0.00,13.8
2018-10-01,0.00,13.8
2018-10-02,7.08,15.5
2018-10-03,32.40,15.3
2018-10-04,0.11,17.0
2018-10-05,0.00,17.0
2018-10-06,0.00,14.3
2018-10-07,0.00,14.7
2018-10-08,0.00,18.6
2018-10-09,0.71,14.4
2018-10-10,0.00,20.4
2018-10-11,0.00,22.8
2018-10-12,25.71,18.4
2018-10-13,0.84,11.0
2018-10-14,4.37,6.5
2018-10-15,0.00,7.9
2018-10-16,5.63,11.4
2018-10-17,0.00,7.1
2018-10-18,0.00,8.1
2018-10-19,0.00,2.7
2018-10-20,0.46,7.7
2018-10-21,1.30,10.5
2018-10-22,0.00,1.9
2018-10-23,0.11,3.4
2018-10-24,0.22,8.8
2018-10-25,0.00,4.6
2018-10-26,0.00,2.7
2018-10-27,4.09,3.1
2018-10-28,18.98,6.7
2018-10-29,3.93,7.3
2018-10-30,0.12,7.3
2018-10-31,0.00,3.7
2018-11-01,0.00,6.5
2018-11-02,5.47,15.8
2018-11-03,43.50,15.7
2018-11-04,4.73,9.0
2018-11-05,0.00,7.2
2018-11-06,12.94,6.1
2018-11-07,12.07,9.9
2018-11-08,0.00,9.5
2018-11-09,0.00,4.5
2018-11-10,24.22,4.6
2018-11-11,0.34,3.3
2018-11-12,0.00,0.3
2018-11-13,15.83,4.0
2018-11-14,15.12,4.9
2018-11-15,0.00,-3.1
2018-11-16,28.09,-1.9
2018-11-17,1.68,2.1
2018-11-18,0.00,3.6
2018-11-19,0.00,1.6
2018-11-20,1.81,3.2
2018-11-21,1.41,0.4
2018-11-22,0.52,-3.7
2018-11-23,0.00,-10.5
2018-11-24,0.00,-6.9
2018-11-25,17.97,1.1
2018-11-26,0.00,5.6
2018-11-27,23.49,4.0
2018-11-28,0.00,2.4
2018-11-29,0.00,1.8
2018-11-30,0.00,0.4
2018-12-01,0.00,-0.4
2018-12-02,14.12,2.0
2018-12-03,7.14,6.8
2018-12-04,0.00,6.2
2018-12-05,0.00,-2.7
2018-12-06,0.00,-2.8
2018-12-07,0.00,-0.9
2018-12-08,0.00,-4.6
2018-12-09,0.00,-5.7
2018-12-10,0.00,-4.1
2018-12-11,0.00,-3.4
2018-12-12,0.00,-3.3
2018-12-13,0.00,-2.6
2018-12-14,0.00,-3.8
2018-12-15,0.92,2.7
2018-12-16,0.43,5.9
2018-12-17,14.73,2.6
2018-12-18,0.00,-1.1
2018-12-19,0.00,-4.7
2018-12-20,0.00,-1.3
2018-12-21,19.73,4.8
2018-12-22,39.80,13.2
2018-12-23,0.42,4.7
2018-12-24,0.00,0.2
2018-12-25,0.98,-0.0
2018-12-26,0.00,-1.6
2018-12-27,0.00,-2.0
2018-12-28,0.11,1.4
2018-12-29,17.37,8.1
2018-12-30,0.00,2.8
2018-12-31,0.00,-0.8
2019-01-01,20.71,4.2
2019-01-02,0.00,3.8
2019-01-03,0.00,-1.4
2019-01-04,0.00,1.8
2019-01-05,6.80,2.1
2019-01-06,27.76,2.4
2019-01-07,0.00,-1.8
2019-01-08,0.45,-5.3
2019-01-09,6.16,1.1
2019-01-10,1.50,2.0
2019-01-11,0.00,-4.9
2019-01-12,0.00,-8.0
2019-01-13,0.00,-6.5
2019-01-14,0.00,-6.8
2019-01-15,0.00,-5.0
2019-01-16,0.00,-4.8
2019-01-17,0.00,-3.7
2019-01-18,0.00,-5.4
2019-01-19,0.00,-1.9
2019-01-20,24.31,-1.7
2019-01-21,6.94,-10.0
2019-01-22,0.00,-17.9
2019-01-23,0.00,-10.5
2019-01-24,4.67,2.0
2019-01-25,50.26,4.8
2019-01-26,0.00,-3.1
2019-01-27,0.00,-4.4
2019-01-28,0.00,-0.8
2019-01-29,0.00,-5.5
2019-01-30,9.84,-2.8
2019-01-31,0.71,-11.0
2019-02-01,0.00,-15.1
2019-02-02,0.00,-11.8
2019-02-03,0.00,-7.3
2019-02-04,0.00,2.8
2019-02-05,0.00,7.4
2019-02-06,0.00,6.8
2019-02-07,13.69,2.6
2019-02-08,1.38,2.2
2019-02-09,2.89,2.5
2019-02-10,0.00,-4.8
2019-02-11,0.00,-3.6
2019-02-12,0.00,-3.4
2019-02-13,24.63,-3.7
2019-02-14,0.00,0.7
2019-02-15,0.00,0.5
2019-02-16,0.40,3.6
2019-02-17,0.00,-2.2
2019-02-18,7.63,-1.7
2019-02-19,0.74,-5.4
2019-02-20,0.00,-6.4
2019-02-21,10.39,-5.4
2019-02-22,0.00,3.0
2019-02-23,0.00,0.4
2019-02-24,2.21,-0.5
2019-02-25,12.43,2.9
2019-02-26,0.00,-1.3
2019-02-27,0.00,-7.3
2019-02-28,4.59,-8.2
2019-03-01,0.00,-4.7
2019-03-02,2.57,-2.1
2019-03-03,0.83,-0.7
2019-03-04,30.90,2.1
2019-03-05,0.00,-4.6
2019-03-06,0.00,-7.1
2019-03-07,0.00,-10.3
2019-03-08,0.00,-8.8
2019-03-09,0.00,-6.1
2019-03-10,2.47,1.4
2019-03-11,5.92,0.4
2019-03-12,0.00,3.9
2019-03-13,0.00,-1.2
2019-03-14,0.00,1.0
2019-03-15,0.00,5.9
2019-03-16,8.53,8.4
2019-03-17,0.00,2.6
2019-03-18,0.00,-1.9
2019-03-19,0.00,-0.2
2019-03-20,0.00,0.8
2019-03-21,0.00,2.3
2019-03-22,19.09,4.8
2019-03-23,32.65,1.2
2019-03-24,0.00,1.2
2019-03-25,0.00,6.0
2019-03-26,0.00,2.2
2019-03-27,0.00,0.6
2019-03-28,0.00,1.4
2019-03-29,0.00,4.0
2019-03-30,0.99,7.9
2019-03-31,0.00,12.8
2019-04-01,9.35,7.2
2019-04-02,0.00,-0.4
2019-04-03,2.08,2.7
2019-04-04,0.00,8.9
2019-04-05,0.00,3.7
2019-04-06,6.42,3.0
2019-04-07,0.00,8.7
2019-04-08,11.76,11.6
2019-04-09,8.86,5.3
2019-04-10,5.40,5.5
2019-04-11,0.00,3.4
2019-04-12,0.00,5.4
2019-04-13,31.24,9.5
2019-04-14,0.86,16.5
2019-04-15,21.64,16.7
2019-04-16,7.57,10.7
2019-04-17,0.00,8.1
2019-04-18,0.98,9.5
2019-04-19,0.60,12.1
2019-04-20,11.65,19.1
2019-04-21,20.95,16.4
2019-04-22,1.24,13.2
2019-04-23,4.67,14.0
2019-04-24,1.68,15.0
2019-04-25,0.00,10.1
2019-04-26,1.96,12.1
2019-04-27,58.15,8.8
2019-04-28,1.03,6.6
2019-04-29,2.28,4.4
2019-04-30,4.16,8.0
2019-05-01,0.00,7.4
2019-05-02,0.59,8.7
2019-05-03,0.00,10.2
2019-05-04,6.12,10.7
2019-05-05,2.90,14.2
2019-05-06,9.55,9.9
2019-05-07,0.00,11.9
2019-05-08,6.06,14.7
2019-05-09,0.00,12.4
2019-05-10,0.00,12.2
2019-05-11,2.71,13.2
2019-05-12,2.68,12.3
2019-05-13,19.64,5.6
2019-05-14,11.40,9.4
2019-05-15,0.33,6.5
2019-05-16,0.05,12.7
2019-05-17,0.00,13.2
2019-05-18,1.50,15.3
2019-05-19,0.00,15.7
2019-05-20,4.18,17.6
2019-05-21,9.01,18.4
2019-05-22,0.00,13.4
2019-05-23,0.00,15.2
2019-05-24,8.56,14.7
2019-05-25,0.00,14.1
2019-05-26,0.00,16.7
2019-05-27,0.00,21.9
2019-05-28,0.00,19.1
2019-05-29,9.41,13.0
2019-05-30,9.77,11.7
2019-05-31,6.49,13.6
2019-06-01,0.00,18.1
2019-06-02,0.00,18.4
2019-06-03,1.19,16.8
2019-06-04,0.00,12.2
2019-06-05,0.00,15.3
2019-06-06,0.70,20.8
2019-06-07,0.00,19.9
2019-06-08,0.00,18.4
2019-06-09,0.00,17.1
2019-06-10,0.00,15.6
2019-06-11,15.07,18.2
2019-06-12,3.10,15.9
2019-06-13,0.73,16.8
2019-06-14,12.69,12.3
2019-06-15,0.00,15.3
2019-06-16,2.96,18.3
2019-06-17,1.85,19.3
2019-06-18,0.00,20.5
2019-06-19,7.59,17.9
2019-06-20,1.03,19.5
2019-06-21,6.26,18.9
2019-06-22,5.42,17.7
2019-06-23,3.35,19.6
2019-06-24,0.00,21.2
2019-06-25,0.00,21.8
2019-06-26,5.22,19.7
2019-06-27,0.00,23.3
2019-06-28,0.00,23.3
2019-06-29,0.00,24.9
2019-06-30,2.24,23.4
2019-07-01,16.47,19.9
2019-07-02,0.00,22.8
2019-07-03,0.00,22.0
2019-07-04,0.00,24.4
2019-07-05,0.00,24.7
2019-07-06,0.00,25.2
2019-07-07,15.32,25.5
2019-07-08,0.00,20.6
2019-07-09,0.00,21.4
2019-07-10,0.00,22.0
2019-07-11,0.00,23.1
2019-07-12,14.84,23.0
2019-07-13,0.00,24.3
2019-07-14,0.00,23.0
2019-07-15,0.00,22.6
2019-07-16,0.00,21.2
2019-07-17,0.00,24.8
2019-07-18,15.21,25.6
2019-07-19,0.00,20.5
2019-07-20,0.00,26.0
2019-07-21,0.01,28.0
2019-07-22,0.00,26.8
2019-07-23,34.50,21.7
2019-07-24,5.40,18.5
2019-07-25,0.00,20.1
2019-07-26,0.00,21.2
2019-07-27,0.00,23.0
2019-07-28,1.01,21.1
2019-07-29,0.00,25.0
2019-07-30,0.00,25.3
2019-07-31,0.00,25.5
2019-08-01,8.79,24.5
2019-08-02,0.00,21.4
2019-08-03,0.00,22.5
2019-08-04,0.00,23.4
2019-08-05,0.00,21.6
2019-08-06,0.00,20.7
2019-08-07,0.00,20.4
2019-08-08,39.63,23.3
2019-08-09,0.51,22.4
2019-08-10,0.00,20.1
2019-08-11,0.00,19.1
2019-08-12,0.00,18.8
2019-08-13,0.00,23.1
2019-08-14,0.47,19.0
2019-08-15,0.00,21.6
2019-08-16,0.00,22.5
2019-08-17,0.00,22.8
2019-08-18,13.95,22.9
2019-08-19,5.23,24.3
2019-08-20,30.05,24.4
2019-08-21,0.00,22.9
2019-08-22,35.06,22.8
2019-08-23,1.06,23.1
2019-08-24,0.00,17.9
2019-08-25,0.00,17.6
2019-08-26,0.00,14.9
2019-08-27,0.00,16.1
2019-08-28,0.00,17.8
2019-08-29,48.49,19.0
2019-08-30,0.00,19.0
2019-08-31,0.00,20.3
2019-09-01,0.00,18.0
2019-09-02,0.00,17.8
2019-09-03,13.13,18.3
2019-09-04,0.00,20.7
2019-09-05,17.01,18.9
2019-09-06,0.00,16.2
2019-09-07,1.20,14.8
2019-09-08,0.00,16.4
2019-09-09,0.00,16.9
2019-09-10,0.00,17.0
2019-09-11,0.00,16.9
2019-09-12,0.49,21.5
2019-09-13,6.39,13.3
2019-09-14,0.00,14.2
2019-09-15,11.55,15.7
2019-09-16,0.00,19.5
2019-09-17,0.00,15.2
2019-09-18,0.00,15.0
2019-09-19,0.00,10.3
2019-09-20,0.00,12.3
2019-09-21,0.00,15.7
2019-09-22,0.00,19.7
2019-09-23,0.00,20.6
2019-09-24,6.45,21.6
2019-09-25,0.00,15.6
2019-09-26,0.00,15.6
2019-09-27,11.84,16.2
2019-09-28,0.00,15.7
2019-09-29,0.37,18.5
2019-09-30,0.00,15.4
2019-10-01,0.00,13.9
2019-10-02,0.00,17.5
2019-10-03,2.20,17.6
2019-10-04,3.44,9.5
2019-10-05,0.00,7.9
2019-10-06,0.00,8.5
2019-10-07,0.00,12.1
2019-10-08,5.61,16.9
2019-10-09,0.00,12.3
2019-10-10,5.95,10.0
2019-10-11,1.76,10.9
2019-10-12,0.00,11.0
2019-10-13,0.00,10.9
2019-10-14,0.00,12.2
2019-10-15,0.00,12.3
2019-10-16,0.00,8.4
2019-10-17,80.27,10.0
2019-10-18,2.60,9.2
2019-10-19,0.00,7.5
2019-10-20,0.00,7.2
2019-10-21,6.14,8.1
2019-10-22,0.00,12.1
2019-10-23,17.03,11.0
2019-10-24,0.00,10.0
2019-10-25,0.00,9.9
2019-10-26,0.10,11.4
2019-10-27,0.18,11.5
2019-10-28,31.17,9.3
2019-10-29,0.00,11.6
2019-10-30,3.04,10.6
2019-10-31,4.89,14.0
2019-11-01,12.08,14.5
2019-11-02,0.00,5.2
2019-11-03,0.00,4.1
2019-11-04,0.00,4.8
2019-11-05,0.00,6.6
2019-11-06,0.50,7.0
2019-11-07,0.00,5.2
2019-11-08,8.04,4.8
2019-11-09,0.00,-3.8
2019-11-10,0.00,-1.3
2019-11-11,0.00,4.2
2019-11-12,0.00,8.9
2019-11-13,1.49,0.4
2019-11-14,0.00,-6.6
2019-11-15,0.00,-2.4
2019-11-16,0.00,2.5
2019-11-17,0.00,-1.9
2019-11-18,0.00,-1.4
2019-11-19,9.37,3.3
2019-11-20,0.39,4.0
2019-11-21,0.80,1.6
2019-11-22,0.00,4.5
2019-11-23,3.60,4.8
2019-11-24,8.89,2.6
2019-11-25,45.73,3.3
2019-11-26,0.00,4.6
2019-11-27,0.00,7.6
2019-11-28,3.60,6.7
2019-11-29,0.00,2.7
2019-11-30,0.00,-0.3
2019-12-01,0.00,-3.2
2019-12-02,21.79,-3.5
2019-12-03,10.19,-1.5
2019-12-04,0.53,-1.8
2019-12-05,0.00,-1.0
2019-12-06,0.00,-0.2
